EvaluationIndex,LevelIndex,Score,LevelStatus
747,1152,17000,Fail
748,279,30100,Pass
749,1118,8980,Fail
750,432,39750,Fail
751,217,23310,Pass
752,791,74170,Pass
753,192,28290,Fail
754,1126,40300,Fail
755,782,44390,Fail
756,174,34020,Fail
757,726,48660,Fail
758,105,27790,Fail
759,974,4860,Fail
760,1035,63480,Pass
761,301,29710,Pass
762,894,20320,Fail
763,435,13040,Fail
764,46,57150,Fail
765,320,30500,Pass
766,1116,14310,Fail
767,661,5150,Fail
768,276,23300,Pass
769,150,12200,Fail
770,668,9500,Fail
771,877,22670,Fail
772,748,78380,Pass
773,224,25020,Pass
774,754,57100,Pass
775,221,29080,Pass
776,679,710,Fail
777,218,28160,Pass
778,695,22940,Fail
779,1172,14900,Fail
780,913,17510,Fail
781,1040,17590,Fail
782,368,37320,Pass
783,954,30980,Fail
784,839,34000,Fail
785,849,59020,Pass
786,438,29530,Fail
787,26,28150,Pass
788,362,52500,Pass
789,724,47630,Fail
790,293,38220,Pass
791,133,17450,Fail
792,784,75230,Pass
793,721,26200,Fail
794,441,50360,Fail
795,1047,20220,Fail
796,42,26740,Pass
797,1146,54780,Pass
798,253,18560,Pass
799,949,21840,Fail
800,177,38710,Fail
801,133,25320,Fail
802,1162,32390,Fail
803,332,4770,Fail
804,652,11590,Fail
805,584,50210,Fail
806,619,27740,Fail
807,1070,24860,Fail
808,697,10250,Fail
809,49,20220,Fail
810,337,17800,Pass
811,774,77270,Pass
812,334,31510,Pass
813,443,27670,Fail
814,73,27000,Pass
815,164,47780,Fail
816,172,22110,Fail
817,831,6320,Fail
818,67,12910,Fail
819,16,17360,Fail
820,953,17230,Fail
821,644,15100,Fail
822,569,13060,Fail
823,605,30000,Fail
824,1245,7300,Fail
825,985,1060,Fail
826,251,25040,Pass
827,410,37700,Fail
828,433,42990,Fail
829,370,31420,Pass
830,501,56330,Pass
831,474,20970,Fail
832,745,73820,Pass
833,79,12050,Fail
834,645,31420,Fail
835,1260,24520,Fail
836,73,38000,Pass
837,453,47450,Pass
838,693,7080,Fail
839,642,29650,Fail
840,1129,36900,Fail
841,176,29180,Fail
842,329,27280,Pass
843,1149,15040,Fail
844,22,21540,Pass
845,554,25170,Fail
846,1170,39160,Pass
847,424,34150,Fail
848,982,5340,Fail
849,1162,32250,Fail
850,677,18880,Fail
851,402,16500,Fail
852,920,24260,Fail
853,681,16320,Fail
854,241,1610,Fail
855,803,38880,Pass
856,25,58460,Fail
857,589,11540,Fail
858,178,22050,Fail
859,110,41500,Fail
860,1201,15840,Fail
861,929,18030,Fail
862,111,34390,Fail
863,1162,32390,Fail
864,1165,47780,Fail
865,876,68430,Pass
866,530,33930,Fail
867,1085,53040,Fail
868,592,56110,Fail
869,570,56880,Pass
870,1030,22950,Fail
871,404,24490,Fail
872,453,33730,Fail
873,917,32060,Fail
874,797,24170,Fail
875,321,11040,Fail
876,366,28020,Pass
877,859,1500,Fail
878,476,30180,Fail
879,573,25350,Fail
880,906,26660,Fail
881,4,36280,Pass
882,470,31200,Fail
883,253,18830,Pass
884,957,27780,Fail
885,927,19720,Fail
886,347,40800,Pass
887,306,32380,Pass
888,1278,24550,Fail
889,644,14760,Fail
890,149,37800,Pass
891,592,54270,Fail
892,933,38670,Pass
893,201,32000,Pass
894,904,12380,Fail
895,837,3000,Fail
896,791,72820,Pass
897,871,11980,Fail
898,748,71960,Pass
899,1278,50100,Pass
900,390,28420,Pass
901,462,59180,Pass
902,314,31000,Pass
903,1085,58700,Fail
904,761,69110,Pass
905,155,19760,Fail
906,314,26000,Pass
907,194,44190,Fail
908,957,23280,Fail
909,46,24090,Fail
910,1226,28470,Fail
911,1199,7500,Fail
912,537,19200,Fail
913,1270,37770,Fail
914,1137,22810,Fail
915,1121,23140,Fail
916,900,9300,Fail
917,364,30760,Pass
918,471,61730,Pass
919,1110,33840,Fail
920,124,37380,Pass
921,977,10140,Fail
922,869,39710,Fail
923,544,45560,Fail
924,1019,330,Fail
925,737,46620,Fail
926,1159,24890,Fail
927,241,1360,Fail
928,1168,6310,Fail
929,1255,14990,Fail
930,789,35390,Fail
931,172,21970,Fail
932,611,7820,Fail
933,824,29120,Fail
934,1235,14830,Fail
935,392,500,Fail
936,147,1800,Fail
937,815,10140,Fail
938,1035,48500,Pass
939,802,14410,Fail
940,179,40020,Fail
941,493,34790,Fail
942,97,22270,Fail
943,896,12920,Fail
944,1044,32200,Fail
945,857,20000,Fail
946,259,1000,Fail
947,912,24360,Fail
948,513,38430,Fail
949,973,14500,Fail
950,297,29000,Pass
951,357,22530,Pass
952,574,5830,Fail
953,812,14410,Fail
954,1081,13910,Fail
955,42,28740,Pass
956,318,26000,Pass
957,1167,41110,Fail
958,1228,11930,Fail
959,913,16420,Fail
960,112,30950,Fail
961,936,10440,Fail
962,541,14600,Fail
963,914,19420,Fail
964,243,27010,Pass
965,582,32110,Fail
966,151,10530,Fail
967,9,7600,Fail
968,837,3000,Fail
969,465,10910,Fail
970,404,25220,Fail
971,368,35340,Pass
972,745,87760,Pass
973,452,63830,Pass
974,939,11990,Fail
975,993,7720,Fail
976,464,44070,Fail
977,864,18250,Fail
978,131,56390,Fail
979,589,6100,Fail
980,803,22040,Fail
981,34,33270,Fail
982,1025,39460,Fail
983,225,20600,Pass
984,1017,3330,Fail
985,675,37340,Fail
986,987,2380,Fail
987,13,25670,Fail
988,372,46500,Pass
989,1193,16790,Fail
990,1222,15330,Fail
991,1136,48430,Fail
992,1125,26000,Fail
993,828,26720,Fail
994,194,46610,Fail
995,923,26240,Fail
996,327,6330,Pass
997,910,43290,Fail
998,787,31740,Fail
999,924,17560,Fail
1000,1156,35380,Fail
1001,424,28280,Fail
1002,1289,28960,Fail
1003,27,15700,Fail
1004,446,64470,Pass
1005,212,28410,Pass
1006,916,10450,Fail
1007,738,74270,Pass
1008,158,44400,Fail
1009,676,36250,Fail
1010,1117,15700,Fail
1011,914,21170,Fail
1012,84,36480,Fail
1013,409,6500,Fail
1014,643,22030,Fail
1015,338,30190,Pass
1016,804,35010,Pass
1017,484,28010,Fail
1018,571,10300,Fail
1019,445,43540,Fail
1020,532,34060,Fail
1021,564,18080,Fail
1022,480,34930,Fail
1023,837,1300,Fail
1024,673,22920,Fail
1025,1244,3840,Fail
1026,1225,23570,Fail
1027,705,49860,Fail
1028,529,20600,Fail
1029,108,21930,Pass
1030,929,13970,Fail
1031,1035,59500,Pass
1032,1065,23600,Pass
1033,654,16510,Fail
1034,932,15550,Fail
1035,169,30290,Fail
1036,545,35570,Fail
1037,564,41740,Pass
1038,1045,26130,Fail
1039,1270,38150,Fail
1040,358,28500,Pass
1041,927,19010,Fail
1042,1062,64510,Pass
1043,463,46690,Pass
1044,251,28040,Pass
1045,970,30210,Fail
1046,1133,34590,Fail
1047,771,77760,Pass
1048,91,27620,Pass
1049,457,16270,Fail
1050,980,6990,Fail
1051,175,8960,Fail
1052,938,19080,Fail
1053,426,11640,Fail
1054,681,16420,Fail
1055,703,25240,Fail
1056,926,34910,Fail
1057,349,32990,Pass
1058,1216,13140,Fail
1059,507,38550,Pass
1060,972,21000,Fail
1061,338,29770,Pass
1062,1076,24190,Fail
1063,902,16460,Fail
1064,813,43210,Fail
1065,356,32210,Pass
1066,85,14310,Fail
1067,987,3210,Fail
1068,917,28000,Fail
1069,524,36380,Fail
1070,453,31100,Fail
1071,122,32890,Fail
1072,1243,9400,Fail
1073,755,52770,Pass
1074,279,31100,Pass
1075,655,34960,Fail
1076,1014,32080,Fail
1077,343,38180,Pass
1078,1124,46960,Pass
1079,46,26580,Fail
1080,663,30350,Fail
1081,973,16760,Fail
1082,1282,9040,Fail
1083,1101,28030,Fail
1084,223,27820,Pass
1085,278,21660,Pass
1086,1229,31260,Fail
1087,136,18280,Fail
1088,878,11550,Fail
1089,1083,14550,Fail
1090,935,26310,Pass
1091,1189,33950,Fail
1092,329,30460,Pass
1093,1208,25380,Fail
1094,337,26000,Pass
1095,216,8570,Pass
1096,1033,58480,Pass
1097,154,23620,Fail
1098,252,28800,Pass
1099,173,15710,Fail
1100,1032,18640,Fail
1101,822,47710,Pass
1102,1180,71250,Pass
1103,579,44360,Pass
1104,1080,35700,Pass
1105,309,5070,Fail
1106,363,770,Fail
1107,474,36920,Fail
1108,278,29160,Pass
1109,391,1500,Fail
1110,1258,26070,Pass
1111,1055,17150,Fail
1112,80,26530,Fail
1113,372,42000,Pass
1114,908,15790,Fail
1115,340,29360,Pass
1116,277,33000,Pass
1117,1042,19380,Fail
1118,372,47500,Pass
1119,1191,34550,Fail
1120,764,40100,Fail
1121,905,11930,Fail
1122,344,3510,Fail
1123,1212,31980,Fail
1124,1213,35420,Fail
1125,879,22280,Fail
1126,1241,18650,Fail
1127,44,14170,Fail
1128,149,35290,Pass
1129,329,23460,Pass
1130,658,29000,Fail
1131,1289,27960,Fail
1132,687,17000,Fail
1133,685,31270,Fail
1134,616,6330,Fail
1135,118,56540,Pass
1136,1263,65710,Fail
1137,710,37460,Fail
1138,196,61410,Fail
1139,306,28730,Pass
1140,688,40680,Fail
1141,529,44210,Fail
1142,1059,8940,Fail
1143,767,66250,Pass
1144,756,35620,Fail
1145,860,23100,Fail
1146,322,27590,Pass
1147,1105,13260,Fail
1148,346,36000,Pass
1149,249,40080,Pass
1150,677,24400,Fail
1151,892,42490,Fail
1152,148,57710,Fail
1153,406,10170,Fail
1154,769,67580,Pass
1155,467,10410,Fail
1156,256,25660,Pass
1157,1194,14240,Fail
1158,1247,23660,Fail
1159,185,55440,Fail
1160,535,8180,Fail
1161,1243,11230,Fail
1162,136,26900,Fail
1163,706,72200,Pass
1164,1141,19620,Fail
1165,221,14250,Fail
1166,1164,18300,Fail
1167,226,33960,Pass
1168,1022,32210,Fail
1169,752,44830,Fail
1170,1107,15730,Fail
1171,320,29500,Pass
1172,161,23480,Fail
1173,347,40620,Pass
1174,686,46800,Fail
1175,537,18040,Fail
1176,964,22220,Fail
1177,897,58530,Fail
1178,396,34440,Pass
1179,507,38840,Pass
1180,705,72660,Pass
1181,245,13640,Fail
1182,1059,8050,Fail
1183,546,27380,Fail
1184,343,31080,Pass
1185,1206,31870,Fail
1186,628,33760,Fail
1187,385,17260,Pass
1188,446,25200,Fail
1189,670,27500,Fail
1190,727,54710,Pass
1191,1210,31110,Fail
1192,929,18850,Fail
1193,362,45500,Pass
1194,1157,70560,Fail
1195,1202,53210,Pass
1196,67,3180,Fail
1197,468,30300,Fail
1198,1066,40950,Fail
1199,1021,9950,Fail
1200,200,40520,Pass
1201,499,13510,Fail
1202,1142,16390,Fail
1203,10,40970,Fail
1204,924,23140,Fail
1205,878,10970,Fail
1206,390,7020,Fail
1207,80,26140,Fail
1208,1257,34040,Fail
1209,524,10650,Fail
1210,1220,23940,Fail
1211,821,14090,Fail
1212,319,28900,Pass
1213,490,29740,Fail
1214,835,15470,Fail
1215,894,22130,Fail
1216,664,78660,Pass
1217,194,49060,Fail
